x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
1.0,0.529,0.0,1.697,1.1502,4.0,1.84096,0.0,6.152,5.989800000000001,87.0,44.55548,0.0,150.386,125.56129999999999
1.0,0.49432,0.0,1.74,1.278,4.0,1.87564,0.0,6.109,5.862,87.0,44.55548,0.0,150.386,125.56129999999999
1.0,0.46761,0.0,1.543,1.4592,4.0,1.90235,0.0,6.306000000000001,5.6808,87.0,44.55548,0.0,150.386,125.56129999999999
1.0,0.42654,0.0,1.517,1.6068,4.0,1.9434200000000001,0.0,6.332000000000001,5.5332,87.0,44.55548,0.0,150.386,125.56129999999999
1.0,0.45249,0.0,1.352,1.6458,4.0,1.91747,0.0,6.497,5.4942,87.0,44.55548,0.0,150.386,125.56129999999999
1.0,0.45087,0.0,1.552,1.6224,28.0,16.964789999999997,0.0,44.327999999999996,46.123299999999986,63.0,29.509779999999996,0.0,112.355,84.95559999999998
1.0,0.564,0.0,1.553,1.768,28.0,16.85166,0.0,44.327,45.977699999999984,63.0,29.509779999999996,0.0,112.355,84.95559999999998
1.0,0.73137,0.0,1.972,1.768,28.0,16.684289999999997,0.0,43.907999999999994,45.977699999999984,63.0,29.509779999999996,0.0,112.355,84.95559999999998
1.0,0.71901,0.0,1.848,1.816,28.0,16.696649999999998,0.0,44.032,45.92969999999999,63.0,29.509779999999996,0.0,112.355,84.95559999999998
1.0,0.72832,0.0,1.778,1.744,28.0,16.687339999999995,0.0,44.102,46.00169999999999,63.0,29.509779999999996,0.0,112.355,84.95559999999998
1.0,0.73248,0.0,1.724,1.808,28.0,16.683179999999997,0.0,44.156,45.93769999999999,63.0,29.509779999999996,0.0,112.355,84.95559999999998
1.0,0.72939,0.0,1.719,1.808,28.0,16.686269999999997,0.0,44.160999999999994,45.93769999999999,63.0,29.509779999999996,0.0,112.355,84.95559999999998
1.0,0.78075,0.0,1.814,1.776,28.0,16.634909999999998,0.0,44.065999999999995,45.96969999999999,63.0,29.509779999999996,0.0,112.355,84.95559999999998
1.0,0.71651,0.0,1.701,1.832,28.0,16.699149999999996,0.0,44.178999999999995,45.91369999999999,63.0,29.509779999999996,0.0,112.355,84.95559999999998
1.0,0.41938,0.0,1.988,1.122,28.0,16.996279999999995,0.0,43.891999999999996,46.62369999999999,63.0,29.509779999999996,0.0,112.355,84.95559999999998
